Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link
Luxury Finished 3 Bedroom Apartment With Pantry + Bq,"Lekki Phase 1, Lekki, Lagos","₦550,000,000","Property Hub Naija
  +2349059227043",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3328174-luxury-finished-3-bedroom-apartment-with-pantry-bq
Luxury 3 Bedroom Apartment In A Secured Estate,"GRA Phase 1, Magodo, Lagos","₦130,000,000","Folk Homes Limited
  09037037742",3,4,5,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/magodo/gra-phase-1/3317890-luxury-3-bedroom-apartment-in-a-secured-estate
Fully Furnished 3 Bedrooms Apartment,"Phase 1, Lekki, Lagos","₦480,000,000","Sunwealthltd
  08110557901",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3358597-fully-furnished-3-bedrooms-apartment
Luxury 3 Bedroom Apartment,"Eko Atlantic City, Lagos","₦680,000,000","Balafama Realties
  09135882965",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/eko-atlantic-city/3358516-luxury-3-bedroom-apartment
Nice 2 Units Of 3 Bedroom And 2 Units Of 2 Bedroom On A Full Plot,"Billionaire Estate Oribanwa Phase2 By Awoyaya, Oribanwa, Ibeju Lekki, Lagos","₦85,000,000","Juanny Properties
  +2348167146177",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki-ibeju/oribanwa/3358403-nice-2-units-of-3-bedroom-and-2-units-of-2-bedroom-on-a-full-plot
Newly Built 3bedroom With Bq,"Lekki Phase 1, Lekki, Lagos","₦400,000,000","Loft & Mane Realties
  09093044325",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3358353-newly-built-3bedroom-with-bq
Luxury 3 Bedroom Terrace Duplex In A Secure Estate,"Sangotedo, Ajah, Lagos","₦95,000,000","Wincovers Realty Ltd
  08103254940",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/sangotedo/3300922-luxury-3-bedroom-terrace-duplex-in-a-secure-estate
Tastefully Built 3 Bedroom Terrace Duplex With Bq,"Ikate, Lekki, Lagos","₦270,000,000","Wincovers Realty Ltd
  08103254940",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/3302768-tastefully-built-3-bedroom-terrace-duplex-with-bq
Capacious 3 Bedroom Serviced Apartment In A Secure Estate.,"Ikate, Lekki, Lagos","₦190,000,000","Wincovers Realty Ltd
  08103254940",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3302835-capacious-3-bedroom-serviced-apartment-in-a-secure-estate
"Luxury Fully Serviced 3 Bedroom Apartment With Bq, Pool & Gym","Victoria Island (VI), Lagos","₦600,000,000","Wincovers Realty Ltd
  08103254940",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3341538-luxury-fully-serviced-3-bedroom-apartment-with-bq-pool-gym
Glamorous 3 Bedroom Apartment With Bq & Elevator In A Secured Estate,"Oniru, Victoria Island (VI), Lagos","₦450,000,000","Wincovers Realty Ltd
  08103254940",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/oniru/3341576-glamorous-3-bedroom-apartment-with-bq-elevator-in-a-secured-estate
Exclusive 3 Bedroom Fully Detached Duplex With Bq,"Ogombo, Ajah, Lagos","₦180,000,000","Wincovers Realty Ltd
  08103254940",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3345450-exclusive-3-bedroom-fully-detached-duplex-with-bq
Brand New 3 Bedroom Detached Bungalow On Half Plot Of Land,"Baba Adisa, Ibeju Lekki, Lagos","₦50,000,000","Pablo Global Services Nig Ltd
  09055294872",3,4,4,4,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/lekki-ibeju/baba-adisa/3326178-brand-new-3-bedroom-detached-bungalow-on-half-plot-of-land
3 Bedroom Apartment Ongoing Construction,"Old Ikoyi, Ikoyi, Lagos","$576,000","Charis Estate
  08184876600",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/old-ikoyi/3358231-3-bedroom-apartment-ongoing-construction
Luxury 3 Bedroom With Bq,"Abraham Adesanya, Ajah, Lagos","₦115,000,000","Fullness Solicitors
  +2348120261619",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3321199-luxury-3-bedroom-with-bq
