Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link
Newly Built Two Nos Flats With Staff Quarters,"Ajao Estate, Anthony, Maryland, Lagos","₦160,000,000","Greenhaven Properties & Development Company Limited
  +2348033306666",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/maryland/anthony/3323473-newly-built-two-nos-flats-with-staff-quarters
The Most Affordable And Spacious Great Investment 3 Bedroom Maisonette,"Off Landmark Center, Victoria Island (VI), Lagos","₦450,000,000","House Davanni Realty Ltd
  08051280014",3,4,3,3,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/victoria-island/3356073-the-most-affordable-and-spacious-great-investment-3-bedroom-maisonette
Three Bedroom Apartment,"Chevron, Lekki, Lagos","₦160,000,000","Joe Etoniru And Associates
  09034271406",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3352161-three-bedroom-apartment
Available Apartments,"Eko Pearl Towers, Eko Atlantic City, Victoria Island (VI), Lagos","$1,700,000","Grandeur Chattel Properties And Constructions Limited
  08030586071",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3362222-available-apartments
Suitable 3 Bedroom Terrace Duplex With Self Compound,"General Paint, Lekki, Lagos","₦95,000,000","Achilles Properties Limited
  07080405971",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/3355945-suitable-3-bedroom-terrace-duplex-with-self-compound
Available Apartments,"Eko Pearl Towers, Eko Atlantic, Victoria Island (VI), Lagos","$2,300,000","Grandeur Chattel Properties And Constructions Limited
  08030586071",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3362193-available-apartments
A 2 Bedroom+ Room And Parlour Setback,"Edu, Agbara-Igbesa, Lagos","₦18,000,000","Prolific Estates & Consults Ltd
  07085753158",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/agbara-igbesa/3362166-a-2-bedroom-room-and-parlour-setback
3 Bedroom Detached Bungalow,"Ajah, Lagos","₦70,000,000","Abc Trusts
  08037479498",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ajah/3353474-3-bedroom-detached-bungalow
3 Bedroom Apartment,"Iconic Towers At Sinari Daranijo Street, Victoria Island (VI), Lagos","₦500,000,000","Grandeur Chattel Properties And Constructions Limited
  08030586071",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3362133-3-bedroom-apartment
3 Bedroom Terraced Duplex,"Ajah, Lagos","₦70,000,000","Kvd Properties Ltd
  08165867392",3,N/A,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3246240-3-bedroom-terraced-duplex
A 3 Storey Property,"Off Marwa Road, Satellite Town, Amuwo Odofin., Amuwo Odofin, Lagos","₦280,000,000","Grandeur Chattel Properties And Constructions Limited
  08030586071",3,N/A,N/A,N/A,"1,188",https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/amuwo-odofin/3362112-a-3-storey-property
Fully Furnished 3 Bedrooms Penthouse Apartment With Boyz Quarter,"Richmond Pearl Estate Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦630,000,000","Heritageglobalproperty
  08028111215",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3362091-fully-furnished-3-bedrooms-penthouse-apartment-with-boyz-quarter
3 Bedroom Apartment With A Bq,"Ikeja, Lagos","₦220,000,000","Brookstel Properties Ltd
  08039683624",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ikeja/3361964-3-bedroom-apartment-with-a-bq
Lovely 3-Bedroom Apartment,"De Avocado Smart, Abijo, Lekki, Lagos","₦100,000,000","Homephase Realty
  09053146304",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/abijo/3301060-lovely-3-bedroom-apartment
Luxury Fully Furnished Water Front 3 Bed Room,"Off Admiralty Road, Lekki Phase 1, Lekki, Lagos","₦380,000,000","Lavilla Empire Limited
  08179564300",3,N/A,4,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3358699-luxury-fully-furnished-water-front-3-bed-room
Super Distress Fully Furnished Luxury 3 Bedroom Terrace Duplex,"Gra, Ikota, Lekki, Lagos","₦105,000,000","Peveth Global Services And Properties Limited
  08145144993",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3355369-super-distress-fully-furnished-luxury-3-bedroom-terrace-duplex
Very Cheap Luxury 3 Bedrooms Terraced Duplex,"Ikota Gra, Lekki, Lagos","₦105,000,000","Peveth Global Services And Properties Limited
  08145144993",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/3355559-very-cheap-luxury-3-bedrooms-terraced-duplex
3 Bedrooms Terraced Duplex,"Lekki Palm City Estate, Ajah, Lagos","₦91,000,000","Debacpro Consults
  07061936610",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3246929-3-bedrooms-terraced-duplex
Serviced 3 Bedroom Terraced Duplex With A Room Bq,"Lekki Palm City Estate, Ajah, Lagos","₦6,500,000","Debacpro Consults
  07061936610",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3344049-serviced-3-bedroom-terraced-duplex-with-a-room-bq
Spaciously Built & Furnished 3 Bedroom Apartment With Gym & Pool,"Surulere, Lagos","₦150,000,000","Ifes Realty
  07032662532",3,4,5,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/surulere/3361987-spaciously-built-furnished-3-bedroom-apartment-with-gym-pool
Modern 3-Bedroom Apartment,"Ikoyi, Lagos","₦450,000,000","Sunwealthltd
  08110557901",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/3361912-modern-3-bedroom-apartment
Brand New 3 Bedroom Flat With Fitted Kitchen,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦265,000,000","Gihon Homes Ltd
  08189042000",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3318523-brand-new-3-bedroom-flat-with-fitted-kitchen
Tastefully Built 3 Bedroom Semi Detached Duplex,"Yaba, Lagos","₦180,000,000","Nest Greeks Investment Limited
  08061220887",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/yaba/3361908-tastefully-built-3-bedroom-semi-detached-duplex
Very Spacious And Modern 2-Bedroom Apartment,"By Lekki Right, Comes With Swimming Pool & Gym, Lekki Phase 1, Lekki, Lagos","₦400,000,000","Island Luxury Homes
  07015290935",3,3,4,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3361871-very-spacious-and-modern-2-bedroom-apartment
Tastefully Finished Serviced 3 Bedroom Terrace Duplex,"Ikate Elegushi, Lekki, Lagos","₦175,000,000","Aruofeg Enterprise
  08074577210",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate-elegushi/3361825-tastefully-finished-serviced-3-bedroom-terrace-duplex
Brand New Serviced 3 Bedroom Flat With Elevator,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦450,000,000","F. A. Esan Consulting
  08033448110",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3326155-brand-new-serviced-3-bedroom-flat-with-elevator
Contemporary 3-Bedroom Apartment With Boys' Quarters,"Lekki Phase 1, Lekki, Lagos","₦400,000,000","House Davanni Realty Ltd
  08051280014",3,4,4,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3361802-contemporary-3-bedroom-apartment-with-boys-quarters
Newly Built 3 Bedroom Apartment With A Bq,"Ikoyi, Lagos","₦1,000,000,000","Teta Homes
  08037834764",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/3361786-newly-built-3-bedroom-apartment-with-a-bq
3 Bedroom Penthouse Apartment,"Cadogan Estate, Osapa, Lekki, Lagos","₦195,000,000","Osekemi Properties Limited
  07069648313",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/osapa/3329011-3-bedroom-penthouse-apartment
3 Bedroom Flat,"Off Olumo Street, Parkview, Ikoyi, Lagos","₦490,000,000","Botac Real Estate Services
  09055233644",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/parkview/3361689-3-bedroom-flat
Luxury 3 Bedroom Flat With Bq,"Ikeja GRA, Ikeja, Lagos","₦350,000,000","Leeward Properties
  +2348022990214",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3330402-luxury-3-bedroom-flat-with-bq
