Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link,Price_numeric
Brand New 3 Bedroom Flat With Fitted Kitchen,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦265,000,000",Gihon Homes Ltd 08189042000,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3318523-brand-new-3-bedroom-flat-with-fitted-kitchen,265000000
Tastefully Built 3 Bedroom Semi Detached Duplex,"Yaba, Lagos","₦180,000,000",Nest Greeks Investment Limited 08061220887,3,,,,,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/yaba/3361908-tastefully-built-3-bedroom-semi-detached-duplex,180000000
Very Spacious And Modern 2-Bedroom Apartment,"By Lekki Right, Comes With Swimming Pool & Gym, Lekki Phase 1, Lekki, Lagos","₦400,000,000",Island Luxury Homes 07015290935,3,3.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3361871-very-spacious-and-modern-2-bedroom-apartment,400000000
Tastefully Finished Serviced 3 Bedroom Terrace Duplex,"Ikate Elegushi, Lekki, Lagos","₦175,000,000",Aruofeg Enterprise 08074577210,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate-elegushi/3361825-tastefully-finished-serviced-3-bedroom-terrace-duplex,175000000
Brand New Serviced 3 Bedroom Flat With Elevator,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦450,000,000",F. A. Esan Consulting 08033448110,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3326155-brand-new-serviced-3-bedroom-flat-with-elevator,450000000
Contemporary 3-Bedroom Apartment With Boys' Quarters,"Lekki Phase 1, Lekki, Lagos","₦400,000,000",House Davanni Realty Ltd 08051280014,3,4.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3361802-contemporary-3-bedroom-apartment-with-boys-quarters,400000000
Newly Built 3 Bedroom Apartment With A Bq,"Ikoyi, Lagos","₦1,000,000,000",Teta Homes 08037834764,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/3361786-newly-built-3-bedroom-apartment-with-a-bq,1000000000
3 Bedroom Penthouse Apartment,"Cadogan Estate, Osapa, Lekki, Lagos","₦195,000,000",Osekemi Properties Limited 07069648313,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/osapa/3329011-3-bedroom-penthouse-apartment,195000000
3 Bedroom Flat,"Off Olumo Street, Parkview, Ikoyi, Lagos","₦490,000,000",Botac Real Estate Services 09055233644,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/parkview/3361689-3-bedroom-flat,490000000
Luxury 3 Bedroom Flat With Bq,"Ikeja GRA, Ikeja, Lagos","₦350,000,000",Leeward Properties +2348022990214,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3330402-luxury-3-bedroom-flat-with-bq,350000000
