Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link,Price_numeric
Luxury 3 Bedroom Bungalow With Bq,"Celebration Parkland Estate & Resort, Eleko, Ibeju Lekki, Lagos","₦75,000,000",Innosinach Properties 08036411790,3,,,,,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/lekki-ibeju/eleko/3331867-luxury-3-bedroom-bungalow-with-bq,75000000
Luxury 3 Bedroom Bungalow With Bq,"Atlantic Nominee By Abraham Adesanya, Ajah, Lagos","₦100,000,000",Innosinach Properties 08036411790,3,,,,,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ajah/3342896-luxury-3-bedroom-bungalow-with-bq,100000000
Luxury 3 Bedroom Maisonette With Private Swimming Pool,"Victoria Island (VI), Lagos","₦460,000,000",Tetrad Homes 07044983363,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/lagos/victoria-island/3360924-luxury-3-bedroom-maisonette-with-private-swimming-pool,460000000
Newly Built Luxury 3 Bedroom Flat,"Off Kilo, Masha, Surulere, Lagos","₦115,000,000",Chilla's Properties 08053711911,3,3.0,4.0,1.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/surulere/masha/3015866-newly-built-luxury-3-bedroom-flat,115000000
3 Bedroom Terrace And Bq,"Orchid Road, Ikota, Lekki, Lagos","₦100,000,000",Equity Premier Ent 08034661411,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3360822-3-bedroom-terrace-and-bq,100000000
Luxury 3 Bedroom Duplex,"Emerald Estate, Ogombo, Ajah, Lagos","₦170,000,000",Sweethomes Realty 08067562646,3,,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/ogombo/3360777-luxury-3-bedroom-duplex,170000000
3 Bedroom Apartment,"Cromwell Estate, Chevron Drive, Lekki, Lagos","₦145,000,000",Osekemi Properties Limited 07069648313,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3253235-3-bedroom-apartment,145000000
Newly Built 3 Bedroom Apartment,"Lekki Phase 1, Lekki, Lagos","₦300,000,000",Rosemond Hills Limited 08117340933,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3200606-newly-built-3-bedroom-apartment,300000000
Lovely 3 Bedroom Apartment,"Parkview, Ikoyi, Lagos","₦540,000,000",Rosemond Hills Limited 08117340933,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/parkview/3281469-lovely-3-bedroom-apartment,540000000
3 Bedroom Semi Detached Duplex Bq,"Orchid Road, Lekki Expressway, Lekki, Lagos","₦140,000,000",Equity Premier Ent 08034661411,3,4.0,5.0,,,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/lekki-expressway/3360743-3-bedroom-semi-detached-duplex-bq,140000000
Lovely 3 Bedroom Apartment,"Lekki Phase 1, Lekki, Lagos","₦350,000,000",De Itj Realty Company 09035137760,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/lekki-phase-1/3360736-lovely-3-bedroom-apartment,350000000
3 Bedroom Semi-Detached House.,"Capital Loft Phase 2., Eleko, Ibeju Lekki, Lagos","₦99,800,000",Pro Samlight International 07087629763,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki-ibeju/eleko/3360715-3-bedroom-semi-detached-house,99800000
Renovated 3 Bedroom Semi Detached Duplex With Bq,"GRA Phase 1, Magodo, Lagos","₦180,000,000",Eric's Brokerage 08104808005,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/magodo/gra-phase-1/3360695-renovated-3-bedroom-semi-detached-duplex-with-bq,180000000
3 Bedroom Apartment,"Gbagada, Lagos","₦110,000,000",Ridbadhomes 07088301300,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/gbagada/3338034-3-bedroom-apartment,110000000
3 Bedroom Apartment,"Surulere, Lagos","₦130,000,000",Ridbadhomes 07088301300,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/surulere/3360681-3-bedroom-apartment,130000000
Lovely 3 Bedroom Apartment With Bq,"Lekki Phase 1, Lekki, Lagos","₦390,000,000",De Itj Realty Company 09035137760,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/lekki-phase-1/3360670-lovely-3-bedroom-apartment-with-bq,390000000
Off Plan 3 Bedroom Luxury With Bq With Payment Plan,"Banana Island, Ikoyi, Lagos","$676,000",Bankofproperty Ltd 08061764516,3,3.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/2376398-off-plan-3-bedroom-luxury-with-bq-with-payment-plan,676000
Distress Deal! Exquisite 4 Bedroom Terrace Duplex,"Ikate, Lekki, Lagos","₦175,000,000",Wex Realty Ltd 08165761095,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/3360625-distress-deal-exquisite-4-bedroom-terrace-duplex,175000000
3 Bedroom Penthouse With Cityview Bq,"Kunsala, Ikate, Ikate Elegushi, Lekki, Lagos","₦400,000,000",Cavier Property Investments Limited 08056842804,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate-elegushi/3277035-3-bedroom-penthouse-with-cityview-bq,400000000
Spread Payment Contemporary 3 Bedroom Terraced Duplex,"Atlantic Layout Estate, General Paint Bus-stop, Ajah, Lagos","₦150,000,000",Wrighthome Solution Managers +2348092835813,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3011751-spread-payment-contemporary-3-bedroom-terraced-duplex,150000000
Lovely 3 Bedroom Apartment With Bq,"Lekki Phase 1, Lekki, Lagos","₦470,000,000",De Itj Realty Company 09035137760,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/lekki-phase-1/3360521-lovely-3-bedroom-apartment-with-bq,470000000
Lovely 3 Bedroom Apartment With Swimming Pool And Bq,"Lekki Phase 1, Lekki, Lagos","₦500,000,000",De Itj Realty Company 09035137760,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/lekki-phase-1/3360509-lovely-3-bedroom-apartment-with-swimming-pool-and-bq,500000000
Well Maintained 3 Bedroom Apartment Upstairs In A Serviced Estate,"Milverton Estate, Osapa, Lekki, Lagos","₦180,000,000",Enerst Properties 07069695490,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/osapa/3360456-well-maintained-3-bedroom-apartment-upstairs-in-a-serviced-estate,180000000
Luxury And Smart 3 Bedroom Terrace With A Bq,"Lekki Peninsula Scheme 2, Lekki Phase 2, Lekki, Lagos","₦135,000,000",Pro Samlight International 07087629763,3,4.0,5.0,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/lekki-phase-2/3360431-luxury-and-smart-3-bedroom-terrace-with-a-bq,135000000
3-Bedroom Apartment With 1-Bedroom Boys' Quarter,"Off Allen Avenue, Alausa, Ikeja, Lagos","₦70,000,000",Babajide Okusaga & Company 08032117012,3,,,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/alausa/3288985-3-bedroom-apartment-with-1-bedroom-boys-quarter,70000000
6-Units Of 3-Bedroom Apartment,"Ikeja, Lagos","₦400,000,000",Jerman Ventures Co. Ltd 08077738880,3,,,,,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikeja/3360289-6-units-of-3-bedroom-apartment,400000000
3-Bedroom Terraced Duplex,"Ikota, Lekki, Lagos","₦90,000,000",Juniville Realty Limited 08100339652,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3294945-3-bedroom-terraced-duplex,90000000
3 Bedrooms Terrace Duplex In A Serviced Estate,"Orchid Road, Lekki, Lagos","₦110,000,000",Jossy Divine Properties Nig Ltd 09064405649,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/3210420-3-bedrooms-terrace-duplex-in-a-serviced-estate,110000000
Luxurious Fully Serviced 3 Bedroom Apartment,", Chevron, Lekki, Lagos","₦150,000,000",Phrg 09038041298,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/3360207-luxurious-fully-serviced-3-bedroom-apartment,150000000
3-Bedroom Apartment,"Banana Island, Ikoyi, Lagos","₦950,000,000",C W Real Estate +2349062511340,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3360064-3-bedroom-apartment,950000000
A Gorgeous Waterfront View 3-Bedroom Apartment,"Banana Island, Ikoyi, Lagos","₦850,000,000",Divilux Realty 08082143015,3,3.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3356585-a-gorgeous-waterfront-view-3-bedroom-apartment,850000000
A Newly Built 3- Bedroom Apartment,"Northern Foreshore Estate, Osapa, Lekki, Lagos","₦160,000,000",Divilux Realty 08082143015,3,3.0,3.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/osapa/3356795-a-newly-built-3-bedroom-apartment,160000000
3 Bedroom Apartment With Bq,"Ikeja GRA, Ikeja, Lagos","₦400,000,000",Albasproperties 07067995727,3,,,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3359961-3-bedroom-apartment-with-bq,400000000
Luxurious 3 Bedroom Apartment,"Abraham Adesanya, Ogombo, Ajah, Lagos","₦138,000,000",Diverse Concept Ng 08126678518,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/ogombo/3359951-luxurious-3-bedroom-apartment,138000000
Luxury 3 Bedroom Flat,"Iporin Estate, Bode Thomas, Surulere, Lagos","₦70,000,000",Diverse Concept Ng 08126678518,3,3.0,3.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/surulere/bode-thomas/3359939-luxury-3-bedroom-flat,70000000
Lovely 3 Bedroom Terrace Duplex With Bq,"Ikota, Lekki, Lagos","₦140,000,000",De Itj Realty Company 09035137760,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3359926-lovely-3-bedroom-terrace-duplex-with-bq,140000000
Executive Newly Built 3 Bedroom Flat,"Off Kilo, Surulere, Lagos","₦112,000,000",Desire Property Consultancy And Management 09057516601,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/surulere/3359888-executive-newly-built-3-bedroom-flat,112000000
Luxury 3 Bedroom Apartment With 2 Kitchens And A Bq On 185sqm,"Lekki Phase 1, Lekki, Lagos","₦380,000,000",David Anu +2348100207059,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/2873197-luxury-3-bedroom-apartment-with-2-kitchens-and-a-bq-on-185sqm,380000000
3 Bedroom Apartment With A Boys' Quarters,"Lekki Phase 1, Lekki, Lagos","₦340,000,000",Egcent Limited 08036803104,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3359887-3-bedroom-apartment-with-a-boys-quarters,340000000
Exquisitely Built 3 Bedroom Apartment,"Surulere, Lagos","₦120,000,000",Investwithamos 09136754284,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/lagos/surulere/3359886-exquisitely-built-3-bedroom-apartment,120000000
100% Dryland With A Storey Building Blocks Of Flat And Big Shop,"Alapere, Ketu, Lagos","₦103,000,000",Amzat Odu Ltd 08129930038,3,,,,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ketu/alapere/3359879-100-dryland-with-a-storey-building-blocks-of-flat-and-big-shop,103000000
3 Bedroom Apartment,"Lekki Scheme 2, Ajah, Lagos","₦95,000,000",Tedhol Properties Ltd 08032670727,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/3359866-3-bedroom-apartment,95000000
3 Bedrooms Maisonette Duplex With Bq,"Famuyiwa Street, Off Mobil Road., Ajah, Lagos","₦135,000,000",Plusworld Realtors 08060014915,3,4.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/lagos/ajah/3041383-3-bedrooms-maisonette-duplex-with-bq,135000000
Spacious 3 Bedroom Terrace,"Salem, Lekki, Lagos","₦220,000,000",Diverse Concept Ng 08126678518,3,3.0,4.0,4.0,,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/3359833-spacious-3-bedroom-terrace,220000000
Serviced 3 Bedroom Flat With A Room Bq On D 2nd Floor,"Ikeja GRA, Ikeja, Lagos","₦365,000,000",Chaman Law Firm 08096888818,3,3.0,3.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3243949-serviced-3-bedroom-flat-with-a-room-bq-on-d-2nd-floor,365000000
4 Units Of 3 Bedroom Flats Sitting On Full Plot Of Land Global C Of O,"Greenville Estate, Badore, Ajah, Lagos","₦130,000,000",Bohvic Project & Services Ltd 07066231670,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ajah/badore/2537578-4-units-of-3-bedroom-flats-sitting-on-full-plot-of-land-global-c-of-o,130000000
A Luxurious 3 Bedroom + 2 Unit Mini Flat,"Idayin, Agbara-Igbesa, Lagos","₦44,000,000",Prolific Estates & Consults Ltd 07085753158,3,3.0,4.0,,330,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/agbara-igbesa/3359771-a-luxurious-3-bedroom-2-unit-mini-flat,44000000
3 Bedroom Bungalow,"Abraham Adesanya Estate, Ajah, Lagos","₦95,000,000",Isma's Fourth Global Concept 09062134914,3,3.0,3.0,3.0,,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ajah/3254743-3-bedroom-bungalow,95000000
3 Bedroom Apartment,"Nike Art Gallery Road, Ikate, Lekki, Lagos","₦270,000,000",Glovelli Realty 07053735154,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3359629-3-bedroom-apartment,270000000
"Exquisitely Finished 3 Bedroom Apartment With Elevator , Swimming Pool","Lekki Phase 1, Lekki, Lagos","₦470,000,000",Tajes Realty +2348140620821,3,,,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3359618-exquisitely-finished-3-bedroom-apartment-with-elevator-swimming-pool,470000000
Newly Built 3 Bedroom Apartments In Serene Environment,"Surulere, Lagos","₦120,000,000",Ifes Realty 07032662532,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/surulere/3359565-newly-built-3-bedroom-apartments-in-serene-environment,120000000
24 Units Of Luxury Three-Bedroom Apartments,"Ikoyi, Lagos","$1,300,000",Knight Angels Realties Ltd 08151917169,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ikoyi/3197513-24-units-of-luxury-three-bedroom-apartments,1300000
Well-Designed 3 Bedrooms Apartment With A Boys Quarters,"Lekki Phase 1, Lekki, Lagos","₦340,000,000",Elizadebiyil.t.d 08168653778,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3359546-well-designed-3-bedrooms-apartment-with-a-boys-quarters,340000000
3 Bedrooms,"Ahmadu Bello Way, New Coastal Road, Victoria Island (VI), Lagos","₦420,000,000",Hojizrealty 07011977558,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3308153-3-bedrooms,420000000
3 Bedroom Luxury Apartment,"Off Landbridge Avenue, Oniru, Victoria Island (VI), Lagos","₦600,000,000",Trustcrow Digital Nigerial Limited 08168511658,3,4.0,4.0,,250,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/oniru/3069437-3-bedroom-luxury-apartment,600000000
Direct Brief: Luxury 3 Bedrooms Apartment,"Oniru, Victoria Island (VI), Lagos","₦600,000,000",Trustcrow Digital Nigerial Limited 08168511658,3,5.0,4.0,,"6,000",https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/oniru/3070452-direct-brief-luxury-3-bedrooms-apartment,600000000
3 Bedroom Flat With Excellent Facilities,"Odudwa Crescent, Ikeja GRA, Ikeja, Lagos","₦350,000,000",Trustcrow Digital Nigerial Limited 08168511658,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3300164-3-bedroom-flat-with-excellent-facilities,350000000
Exquisite 3 Bedroom Apartment With Bq,"Lekki Phase 1, Lekki, Lagos","₦340,000,000",Tory's Realty 09048062106,3,3.0,3.0,3.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3359402-exquisite-3-bedroom-apartment-with-bq,340000000
Luxury Three Bedroom Penthouse With Bq,"Haven Pearl Estate, Haven Homes, Lekki Phase 1, Lekki, Lagos","₦400,000,000",Conceptry Edge Limited 08037027687,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3286311-luxury-three-bedroom-penthouse-with-bq,400000000
3 Bedroom Apartment,"Ikota, Lekki, Lagos","₦95,000,000",Afflux Properties 08132281643,3,,,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikota/3359326-3-bedroom-apartment,95000000
Luxurious Built 3 Bedroom Flat With Bq,"Lekki Phase 1, Lekki, Lagos","₦350,000,000",Shepherdrealty 09074303648,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/2936283-luxurious-built-3-bedroom-flat-with-bq,350000000
Newly Built 3 Bedroom Flat All Room Ensuite With A Boys Quarters,"Off Mobolaji Bank Anthony Way, Ikeja, Lagos","₦220,000,000",Riyadh Realtors 09050170123,3,,,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/3359204-newly-built-3-bedroom-flat-all-room-ensuite-with-a-boys-quarters,220000000
Well-Designed 3 Bedroom Apartment With A Boys' Quarters,"Lekki Phase 1, Lekki, Lagos","₦340,000,000",Planwell Homes Limited +2349063081858,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3359251-well-designed-3-bedroom-apartment-with-a-boys-quarters,340000000
Newly Built 3 Bedroom Apartment In A Good Neighborhood,"Ogba, Ikeja, Lagos","₦150,000,000",Exclusive Real Estate 09026904592,3,4.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikeja/ogba/3359229-newly-built-3-bedroom-apartment-in-a-good-neighborhood,150000000
3 Bedroom Duplex With Payment Plan,"Wisdom Court Estate Abraham Adesanya, Ajah, Lagos","₦120,000,000",Primevoke Limited 09059505450,3,4.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3314422-3-bedroom-duplex-with-payment-plan,120000000
Newly Built 3 Bedroom Apartment Plus Bq,"Ajao Estate, Ikeja, Lagos","₦150,000,000",Exclusive Real Estate 09026904592,3,4.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikeja/3359215-newly-built-3-bedroom-apartment-plus-bq,150000000
3 Bedroom Terraced Duplex With Bq In A Serene Estate,"Ado, Ajah, Lagos","₦85,000,000",Hss_realty 08164466352,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/ado/3359185-3-bedroom-terraced-duplex-with-bq-in-a-serene-estate,85000000
3 Bedroom Terraced Duplex With A Bq In A Serene Estate,"Ado, Ajah, Lagos","₦85,000,000",Hss_realty 08164466352,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/ado/3359168-3-bedroom-terraced-duplex-with-a-bq-in-a-serene-estate,85000000
Luxury 3 Bedroom Apartment With Bq And Swimming Pool,"Lekki Phase 1, Lekki, Lagos","₦330,000,000",Hexagon Homes 08165315202,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3359126-luxury-3-bedroom-apartment-with-bq-and-swimming-pool,330000000
3 Bedroom Luxury Bungalows With Bq,"Civic Residence By Abraham Adesanya, Ajah, Lagos","₦100,000,000",Bestiprokleen Development Ltd 07067789147,3,3.0,3.0,,,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ajah/3349314-3-bedroom-luxury-bungalows-with-bq,100000000
Newly Built 3-Bedroom Terrace Duplex,"Ikota, Lekki, Lagos","₦115,000,000",Homephase Realty 09053146304,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3359072-newly-built-3-bedroom-terrace-duplex,115000000
Newly Built & Very Cheap Blocks Of Flats,"Ijegun, Ikotun, Lagos","₦70,000,000",Don-zikky Global Services 08023920554,3,,,,,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikotun/ijegun/3359036-newly-built-very-cheap-blocks-of-flats,70000000
Affordable 3 Bedroom Semi Detached Duplex In Serene Environment,"GRA Phase 1, Magodo, Lagos","₦180,000,000",Ifes Realty 07032662532,3,4.0,5.0,3.0,,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/magodo/gra-phase-1/3359019-affordable-3-bedroom-semi-detached-duplex-in-serene-environment,180000000
Exquisitely Finished 3 Bedroom Flat En-Suite With Bq,"Roseville Apartments, Along Ebute-ibeshe Road, Ebute, Ikorodu, Lagos","₦65,000,000",Investwithamos 09136754284,3,3.0,5.0,3.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikorodu/ebute/3303254-exquisitely-finished-3-bedroom-flat-en-suite-with-bq,65000000
Newly Built 3 Bedroom Apartment With Bq,"Ikate, Lekki, Lagos","₦200,000,000",Agathahomes.ng Limited 08087813295,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/ikate/3358150-newly-built-3-bedroom-apartment-with-bq,200000000
Lovely 3 Bedrooms Terraced Duplex With Bq,"Chevron, Lekki, Lagos","₦170,000,000",De Itj Realty Company 09035137760,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/3358848-lovely-3-bedrooms-terraced-duplex-with-bq,170000000
Block Of Flats,"Ali Dada, Okota, Isolo, Lagos","₦185,000,008",Kapital Properties +2347037513662,3,3.0,3.0,,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/isolo/okota/3283520-block-of-flats,185000008
3 Bedrooms Flat,"Abesan Estate, Abesan, Ipaja, Lagos","₦32,000,000",Kapital Properties +2347037513662,3,2.0,2.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ipaja/abesan/3305390-3-bedrooms-flat,32000000
3 Bedroom Terrace Duplex,"Ikota, Lekki, Lagos","₦115,000,000",Vivacourtng 09112749918,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3286239-3-bedroom-terrace-duplex,115000000
27th Level Pentfloor 3 Bedrooms Luxury Flat With Bq,"Eko Atlantic City, Victoria Island (VI), Lagos","₦900,000,000",Bankofproperty Ltd 08061764516,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3141281-27th-level-pentfloor-3-bedrooms-luxury-flat-with-bq,900000000
Tastefully Finished 3 Bedroom Apartment,"Off Freedom Way, Lekki, Lagos","₦200,000,000",Centpro Integrated Services 09043656511,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3314377-tastefully-finished-3-bedroom-apartment,200000000
Spacious 3 Bedrooms Apartment With Swimming Pool And Gym,"Banana Island, Ikoyi, Lagos","₦950,000,000",Ninahomesltd 08142762959,3,3.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3357581-spacious-3-bedrooms-apartment-with-swimming-pool-and-gym,950000000
Exquisite 3 Bedroom Semi-Detached House + Bq,"Sangotedo, Ajah, Lagos","₦155,000,000",Marychilem Ent 08037244325,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/sangotedo/3358770-exquisite-3-bedroom-semi-detached-house-bq,155000000
Newly Built Top Notch 3 Bedroom,"Blenco Side, Ikate Elegushi, Lekki, Lagos","₦140,000,000",Toyin Aluko & Co 07033285248,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate-elegushi/2629186-newly-built-top-notch-3-bedroom,140000000
Luxury Finished 3 Bedroom Apartment With Pantry + Bq,"Lekki Phase 1, Lekki, Lagos","₦550,000,000",Property Hub Naija +2349059227043,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3328174-luxury-finished-3-bedroom-apartment-with-pantry-bq,550000000
Luxury 3 Bedroom Apartment In A Secured Estate,"GRA Phase 1, Magodo, Lagos","₦130,000,000",Folk Homes Limited 09037037742,3,4.0,5.0,3.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/magodo/gra-phase-1/3317890-luxury-3-bedroom-apartment-in-a-secured-estate,130000000
Fully Furnished 3 Bedrooms Apartment,"Phase 1, Lekki, Lagos","₦480,000,000",Sunwealthltd 08110557901,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3358597-fully-furnished-3-bedrooms-apartment,480000000
Luxury 3 Bedroom Apartment,"Eko Atlantic City, Lagos","₦680,000,000",Balafama Realties 09135882965,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/eko-atlantic-city/3358516-luxury-3-bedroom-apartment,680000000
Nice 2 Units Of 3 Bedroom And 2 Units Of 2 Bedroom On A Full Plot,"Billionaire Estate Oribanwa Phase2 By Awoyaya, Oribanwa, Ibeju Lekki, Lagos","₦85,000,000",Juanny Properties +2348167146177,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki-ibeju/oribanwa/3358403-nice-2-units-of-3-bedroom-and-2-units-of-2-bedroom-on-a-full-plot,85000000
Newly Built 3bedroom With Bq,"Lekki Phase 1, Lekki, Lagos","₦400,000,000",Loft & Mane Realties 09093044325,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3358353-newly-built-3bedroom-with-bq,400000000
Luxury 3 Bedroom Terrace Duplex In A Secure Estate,"Sangotedo, Ajah, Lagos","₦95,000,000",Wincovers Realty Ltd 08103254940,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/sangotedo/3300922-luxury-3-bedroom-terrace-duplex-in-a-secure-estate,95000000
